,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000183019,2.068578071,7.975525655,9.16776381,1.31194573722272e-15,6.18642048997661e-13,24.99897194,MCEMP1
ENSG00000091592,-1.197837715,5.92245073,-9.137404057,1.55136003488856e-15,7.10020985379439e-13,24.82783701,NLRP1
ENSG00000138180,2.599163166,1.162421572,9.108527203,1.81934487621167e-15,7.98115335739376e-13,24.08115146,CEP55
ENSG00000163219,-0.761613933,7.436123959,-9.10456909,1.84642067261857e-15,7.98115335739376e-13,24.65571366,ARHGAP25
ENSG00000091262,-1.671097386,3.117522502,-9.069825333,2.25217682841784e-15,9.13167867778062e-13,24.40891515,ABCC6
ENSG00000166902,-0.73412926,6.144345868,-9.065632285,2.2852600640041e-15,9.13167867778062e-13,24.44178855,MRPL16
ENSG00000172243,-1.293097182,7.563093375,-9.066911619,2.28864127262672e-15,9.13167867778062e-13,24.44820307,CLEC7A
ENSG00000118113,3.983048483,7.341093145,9.034742532,2.73250863825123e-15,1.06301417299569e-12,24.28923064,MMP8
ENSG00000132155,-0.733941395,8.22723421,-8.993545498,3.39134452782622e-15,1.28713932189034e-12,24.068492,RAF1
ENSG00000131355,-2.447598483,5.238633879,-8.986417614,3.56544380473334e-15,1.31575886367934e-12,24.03642648,ADGRE3
ENSG00000189180,-0.778698874,6.152637495,-8.982222237,3.63586087900594e-15,1.31575886367934e-12,23.98553075,ZNF33A
ENSG00000138821,1.626726765,4.589496449,8.927985659,4.91674138699763e-15,1.73885028916068e-12,23.72768853,SLC39A8
ENSG00000100784,-1.646296877,4.507657164,-8.905216049,5.57204727511699e-15,1.92681394773545e-12,23.6044932,RPS6KA5
ENSG00000073910,-0.967353264,6.082965172,-8.874814026,6.58451519019412e-15,2.22742697553502e-12,23.40436127,FRY
ENSG00000198740,-0.667267294,5.456514445,-8.801932758,9.72042415057894e-15,3.2182876639821e-12,23.03195979,ZNF652
ENSG00000116459,0.760874108,6.495511066,8.766486876,1.18879313843395e-14,3.85391875566057e-12,22.82155928,ATP5PB
ENSG00000197971,-0.811081723,8.537158835,-8.729424948,1.45654145538777e-14,4.62555950761001e-12,22.64316519,MBP
ENSG00000204131,-1.160177916,5.942742578,-8.721313418,1.52704396307491e-14,4.75246622188175e-12,22.58139859,NHSL2
ENSG00000164691,-1.13258714,6.608690439,-8.702544736,1.69210977199158e-14,5.16292552195313e-12,22.4753319,TAGAP
ENSG00000215397,-2.681222681,0.836274225,-8.695315222,1.7603281057513e-14,5.26778185646075e-12,21.86117038,SCRT2
ENSG00000120318,-1.310350307,4.603022811,-8.654648924,2.19831457647438e-14,6.45433455179582e-12,22.26351222,ARAP3
ENSG00000104918,3.40391,6.083975504,8.618909791,2.67184816777665e-14,7.64829205665131e-12,22.06219549,RETN
ENSG00000185215,-1.479732779,7.005881016,-8.616766686,2.70327140361045e-14,7.64829205665131e-12,22.01787773,TNFAIP2
ENSG00000008294,-0.74586072,7.569491257,-8.606336938,2.84926517551994e-14,7.91739560647602e-12,21.97124306,SPAG9
ENSG00000108798,-1.627251733,4.59915228,-8.60359112,2.90470200976033e-14,7.9298364866457e-12,21.98834772,ABI3
ENSG00000119714,-2.218650821,2.670718369,-8.556134781,3.76211298469048e-14,1.00934896818567e-11,21.63304125,GPR68
ENSG00000164741,2.254275659,2.167102469,8.500205785,5.1007233666368e-14,1.34529417471585e-11,21.23552086,DLC1
ENSG00000168010,-1.116788746,9.060901547,-8.477724236,5.76386593576244e-14,1.49485863043999e-11,21.30333483,ATG16L2
ENSG00000130475,-0.771420013,5.530648342,-8.431274535,7.40048186572301e-14,1.88785079200846e-11,21.04340743,FCHO1
ENSG00000026950,-1.430643477,6.186465518,-8.426313986,7.62032269414658e-14,1.90810311023036e-11,21.00164911,BTN3A1
ENSG00000161638,-0.995549054,6.41169511,-8.42379725,7.72511380660065e-14,1.90810311023036e-11,20.98351544,ITGA5
ENSG00000065911,1.037088543,5.171218035,8.420276475,7.87412003421312e-14,1.9145184664436e-11,20.99676854,MTHFD2
ENSG00000148660,-0.879603281,6.333948559,-8.40938122,8.35358035600427e-14,1.99984713722742e-11,20.90668019,CAMK2G
ENSG00000172594,2.40775613,4.619667539,8.399909553,8.79391891664397e-14,2.07042561794997e-11,20.91752975,SMPDL3A
ENSG00000178896,1.652963804,4.365006573,8.397398108,8.91449883700585e-14,2.07042561794997e-11,20.90362353,EXOSC4
ENSG00000167173,-1.012814913,6.570101978,-8.38559509,9.50358072814269e-14,2.17478264280336e-11,20.77989361,C15orf39
ENSG00000173825,-2.843846519,0.140552515,-8.350041464,1.1522309756112e-13,2.59853133499795e-11,19.83471508,TIGD3
ENSG00000133392,-0.96831898,5.376276433,-8.34567378,1.17980400609735e-13,2.62270430555442e-11,20.58895795,MYH11
ENSG00000188158,-2.370619256,0.644753826,-8.336540765,1.23959878114663e-13,2.71681642724264e-11,20.0042882,NHS
ENSG00000100632,1.213590317,5.758263168,8.328676611,1.29349452369488e-13,2.79556503933556e-11,20.49386384,ERH
ENSG00000146859,-1.012443258,7.324849009,-8.319240409,1.36124726730435e-13,2.90169434609903e-11,20.43306616,TMEM140
ENSG00000113282,0.806363379,6.169027542,8.314703565,1.39506691787899e-13,2.93359950123176e-11,20.40687164,CLINT1
ENSG00000089195,1.26713948,3.064855203,8.301351877,1.49952030108091e-13,3.11120472068267e-11,20.35192415,TRMT6
ENSG00000183049,-1.314724434,5.264722109,-8.294580843,1.55542687692078e-13,3.18473653049529e-11,20.3208166,CAMK1D
ENSG00000087589,-1.333475511,4.048377544,-8.28465634,1.64113607869897e-13,3.31658682086166e-11,20.31158979,CASS4
ENSG00000112763,-0.758252352,5.441106699,-8.277144691,1.70607788826358e-13,3.40362538708583e-11,20.22303095,BTN2A1
ENSG00000156030,-0.856404299,5.439547889,-8.255082358,1.92538741450366e-13,3.79252576672045e-11,20.10443401,ELMSAN1
ENSG00000156140,3.313315834,0.493517027,8.24945941,1.98472742272403e-13,3.82179243928638e-11,19.39239182,ADAMTS3
ENSG00000182923,-0.960115383,6.061804257,-8.248421532,1.99587742931426e-13,3.82179243928638e-11,20.05431171,CEP63
ENSG00000110079,1.989782757,5.555773206,8.246753696,2.01392571185324e-13,3.82179243928638e-11,20.08035488,MS4A4A
ENSG00000167613,1.281804382,6.747191821,8.215384167,2.38527159848107e-13,4.43937465107892e-11,19.88046355,LAIR1
ENSG00000174885,-1.600302296,4.980453092,-8.21451907,2.39642356333545e-13,4.43937465107892e-11,19.91457022,NLRP6
ENSG00000075303,1.136617431,6.707406963,8.211239866,2.43916833923099e-13,4.4563726514068e-11,19.85785313,SLC25A40
ENSG00000072864,-0.853837079,6.955264377,-8.209445693,2.46287544515767e-13,4.4563726514068e-11,19.84669207,NDE1
ENSG00000197852,-1.138953239,5.953138526,-8.160457653,3.20657848410459e-13,5.73535261967258e-11,19.59213968,INKA2
ENSG00000126822,-1.295152505,5.713926838,-8.154716506,3.30719762680036e-13,5.77937440332812e-11,19.56976783,PLEKHG3
ENSG00000067064,1.52376627,6.895450129,8.154418579,3.31250388781181e-13,5.77937440332812e-11,19.56095568,IDI1
ENSG00000154767,-0.738097134,5.179379545,-8.152070707,3.34261099093587e-13,5.77937440332812e-11,19.57170822,XPC
ENSG00000104324,-0.847201008,7.435043697,-8.136708518,3.64360960008523e-13,6.23057241614575e-11,19.46782704,CPQ
ENSG00000163958,3.191482066,5.273492509,8.134144868,3.69418942961942e-13,6.24840018633781e-11,19.51642315,ZDHHC19
ENSG00000120913,-1.000626704,5.629030617,-8.092717437,4.61529108104587e-13,7.72242414109192e-11,19.24257562,PDLIM2
ENSG00000134152,-0.978377027,7.76666427,-8.089479826,4.69622581096522e-13,7.77425211110955e-11,19.2271412,KATNBL1
ENSG00000286190,-1.526800072,2.881626375,-8.08632254,4.7765102599028e-13,7.82392380572078e-11,19.23216966,AC055839.2
ENSG00000127527,-0.695675408,6.067290038,-8.081748836,4.8800157592722e-13,7.91020054479528e-11,19.17552995,EPS15L1
ENSG00000163964,-0.923113423,5.252387243,-8.078286138,4.98706814699536e-13,8.00038839540153e-11,19.17822204,PIGX
ENSG00000183576,0.632331497,5.091255501,8.067252585,5.24936618635094e-13,8.33524359447009e-11,19.14165412,SETD3
ENSG00000106948,-0.729563919,7.927245758,-8.066377557,5.30520560488927e-13,8.33881862804869e-11,19.10769909,AKNA
ENSG00000146826,-0.820258958,5.498311163,-8.036655306,6.23463985992363e-13,9.70172308602717e-11,18.95220493,MAP11
ENSG00000149091,-0.741784006,5.733275385,-8.024799381,6.64354583401146e-13,1.02356650220844e-10,18.88009314,DGKZ
ENSG00000283787,-0.782980991,4.352257502,-8.016284303,6.90543445505017e-13,1.05348495642192e-10,18.90547916,PRR33
ENSG00000116030,0.514780527,6.133912395,8.011712614,7.07063209755235e-13,1.06821462203895e-10,18.81151574,SUMO1
ENSG00000108840,-0.802202766,5.362400303,-7.990174091,7.996598159464e-13,1.1964909996098e-10,18.71403778,HDAC5
ENSG00000111859,-1.09562263,8.168314434,-7.988261568,8.07884046728526e-13,1.19728415725168e-10,18.70215232,NEDD9
ENSG00000170791,1.078767669,5.167251266,7.983488829,8.28776021733861e-13,1.21665883718874e-10,18.69697052,CHCHD7
ENSG00000159496,1.443321096,6.972996292,7.966889058,9.05705702917019e-13,1.31716695729829e-10,18.57344937,RGL4
ENSG00000111087,-1.517843437,4.773571351,-7.964416521,9.17755737864219e-13,1.3223330589727e-10,18.61467357,GLI1
ENSG00000115935,-0.58718955,9.445329726,-7.959927463,9.32892257041089e-13,1.32847668691115e-10,18.58487757,WIPF1
ENSG00000255398,-2.695577847,3.310378444,-7.96011618,9.39094117089045e-13,1.32847668691115e-10,18.58662801,HCAR3
ENSG00000140379,1.581999303,7.465735457,7.954744577,9.66441414025196e-13,1.35484638231046e-10,18.51633375,BCL2A1
ENSG00000171310,-0.841652263,6.005545978,-7.928127365,1.11406891907282e-12,1.5478595044368e-10,18.36741082,CHST11
ENSG00000148154,1.355630784,7.672975186,7.923844394,1.13983067207379e-12,1.56963761841949e-10,18.35422375,UGCG
ENSG00000168916,-2.294097681,3.562651672,-7.906445937,1.25070515730322e-12,1.70721253971889e-10,18.34062303,ZNF608
ENSG00000174718,-0.909903924,9.191675485,-7.890989107,1.35815159397731e-12,1.8377562568592e-10,18.21382802,RESF1
ENSG00000136280,-0.645433831,6.660608257,-7.887726077,1.37525540186717e-12,1.84082450706715e-10,18.15621394,CCM2
ENSG00000155287,0.982641705,5.733965859,7.886640876,1.389996247147e-12,1.84082450706715e-10,18.16765776,SLC25A28
ENSG00000107736,-1.368350704,4.870877644,-7.88584451,1.39590830816736e-12,1.84082450706715e-10,18.19114843,CDH23
ENSG00000169764,0.608329139,7.022131457,7.879930601,1.42997066311374e-12,1.86989693182461e-10,18.12124139,UGP2
ENSG00000182782,-2.330874009,3.805710462,-7.858441683,1.61528424029297e-12,2.0946198385999e-10,18.09098491,HCAR2
ENSG00000164466,1.066522159,5.766205144,7.849282219,1.69598865936668e-12,2.18109748168635e-10,17.96976254,SFXN1
ENSG00000136634,2.208034367,3.33319049,7.816271673,2.02148610284671e-12,2.57838895462276e-10,17.86112814,IL10
ENSG00000125735,-1.062901338,4.760156711,-7.804207821,2.15531683495524e-12,2.72673863973484e-10,17.77932142,TNFSF14
ENSG00000163220,1.408946425,14.8642322,7.783392838,2.40721824147956e-12,3.0208647625535e-10,17.70387357,S100A9
ENSG00000133816,-1.148285173,8.003858122,-7.77938992,2.45890963050057e-12,3.06104742081755e-10,17.60745423,MICAL2
ENSG00000134057,1.610987874,2.782492226,7.774489134,2.52369760256728e-12,3.11676653917059e-10,17.62953306,CCNB1
ENSG00000078124,1.26413386,6.450262897,7.772287642,2.55334985841567e-12,3.12855725565404e-10,17.55809465,ACER3
ENSG00000197555,-1.001296444,6.934779599,-7.763378323,2.67692320451054e-12,3.25434390510847e-10,17.50666612,SIPA1L1
ENSG00000143252,0.862462938,6.356345459,7.752107455,2.84178679287976e-12,3.40344017721317e-10,17.4491169,SDHC
ENSG00000138663,1.02017364,4.805365686,7.751079791,2.85731089718568e-12,3.40344017721317e-10,17.50290368,COPS4
ENSG00000125637,-0.672380725,6.410030012,-7.749159557,2.88068266929809e-12,3.40344017721317e-10,17.43134728,PSD4
ENSG00000152766,2.053144587,4.699689912,7.749126398,2.88705162516637e-12,3.40344017721317e-10,17.50838336,ANKRD22
ENSG00000261884,-0.856927147,2.577497141,-7.742360947,2.97151374491293e-12,3.47667108154812e-10,17.44415597,AC040162.1
ENSG00000022567,-1.05607644,6.231957488,-7.726926876,3.24740509585397e-12,3.77110975347639e-10,17.31796116,SLC45A4
ENSG00000100307,-0.843676011,5.042998031,-7.716505549,3.4316282296385e-12,3.95552347269664e-10,17.30379776,CBX7
ENSG00000137869,3.638822375,2.124508043,7.694219081,3.86111752562221e-12,4.41785660413288e-10,17.10344839,CYP19A1
ENSG00000100034,-0.954659734,6.039039896,-7.679461274,4.1744494310342e-12,4.74150420411118e-10,17.07342308,PPM1F
ENSG00000118900,-0.963398965,6.085234565,-7.668487332,4.42367693154825e-12,4.98817657476974e-10,17.01561951,UBN1
ENSG00000142102,-1.101432055,5.595930282,-7.644885786,5.01080007390309e-12,5.60957265827381e-10,16.91224936,PGGHG
ENSG00000156675,-0.866988347,6.485695243,-7.629240507,5.44195735595221e-12,6.04873560114089e-10,16.80877298,RAB11FIP1
ENSG00000104447,1.032996622,6.196124093,7.626375781,5.52479886456575e-12,6.09726206606437e-10,16.80427379,TRPS1
ENSG00000065413,-0.720335586,9.313347096,-7.621736289,5.64522580540534e-12,6.18629287027553e-10,16.82236871,ANKRD44
ENSG00000145431,1.912716855,4.508677256,7.617885646,5.77773231269171e-12,6.28722325299271e-10,16.84204375,PDGFC
ENSG00000120594,-1.024866626,5.877816676,-7.608978614,6.05543426233124e-12,6.5436536497317e-10,16.71244163,PLXDC2
ENSG00000065882,-0.672847959,7.409784776,-7.600368709,6.32536152934366e-12,6.78820350055977e-10,16.67000685,TBC1D1
ENSG00000021355,1.178311588,8.809584898,7.593618878,6.56575390649183e-12,6.99792442047393e-10,16.66287243,SERPINB1
ENSG00000196684,-1.322317613,5.378553916,-7.58941444,6.71273040800356e-12,7.1059046176152e-10,16.63154749,HSH2D
ENSG00000142599,-0.848943329,7.047289794,-7.58607681,6.83172463574832e-12,7.18300453087024e-10,16.58961941,RERE
ENSG00000116717,1.596404175,5.767034004,7.580460353,7.03670387972751e-12,7.34886906526442e-10,16.58624672,GADD45A
ENSG00000135441,0.882303167,6.891712294,7.569140226,7.46855895430597e-12,7.74788305919701e-10,16.50116207,BLOC1S1
ENSG00000185156,-2.077630565,-0.033860737,-7.560792393,7.80376312166632e-12,8.04201045935428e-10,15.88185338,MFSD6L
ENSG00000136999,-3.189830554,-1.07082614,-7.552046835,8.1709432606101e-12,8.36500316304959e-10,15.37446485,CCN3
ENSG00000204936,2.745485477,8.330115839,7.550636686,8.23173078574696e-12,8.37215442856264e-10,16.4348397,CD177
ENSG00000198018,1.338882975,4.736582498,7.539012994,8.75017959670256e-12,8.84165874703172e-10,16.42125654,ENTPD7
ENSG00000214688,-1.802731536,2.310963388,-7.535767124,8.90064999846869e-12,8.87987362023538e-10,16.38149014,C10orf105
ENSG00000138621,-1.014857458,5.766390309,-7.535297377,8.92263774400198e-12,8.87987362023538e-10,16.33847346,PPCDC
ENSG00000092841,0.924267991,9.531021708,7.534518925,8.95919387171104e-12,8.87987362023538e-10,16.37703282,MYL6
ENSG00000151883,-0.658244029,9.133225422,-7.526713001,9.2830460165377e-12,9.13162328664992e-10,16.33288616,PARP8
ENSG00000100228,-1.257577553,4.648425772,-7.526784678,9.33055782133113e-12,9.13162328664992e-10,16.35050221,RAB36
ENSG00000105374,1.512975596,7.347234455,7.524612176,9.43758978059097e-12,9.17864591098601e-10,16.28010857,NKG7
ENSG00000258227,2.087452536,4.563816422,7.520369377,9.65014038165785e-12,9.32707046453278e-10,16.33932174,CLEC5A
ENSG00000184743,0.588348071,5.019611185,7.515645066,9.82917452077982e-12,9.44146819246017e-10,16.28180077,ATL3
ENSG00000079385,1.645505852,7.623993411,7.479576812,1.19518550191531e-11,1.14099887087756e-09,16.0536679,CEACAM1
ENSG00000141506,-0.747777226,6.975910608,-7.475285943,1.22235488317848e-11,1.15982099616709e-09,16.0183382,PIK3R5
ENSG00000134248,0.835568903,7.507695702,7.473167022,1.23599660394709e-11,1.16565716084973e-09,16.01518948,LAMTOR5
ENSG00000187764,-0.808599747,7.929334046,-7.469708112,1.25859017172154e-11,1.17431544401283e-09,16.00705869,SEMA4D
ENSG00000203697,-1.836317119,3.973299738,-7.469453343,1.26027041417738e-11,1.17431544401283e-09,16.09888177,CAPN8
ENSG00000182871,-1.083450584,5.143925418,-7.465043751,1.28970717367358e-11,1.19459126961515e-09,16.01072883,COL18A1
ENSG00000106701,1.078232475,3.412155692,7.459932759,1.32467976219264e-11,1.21972436564969e-09,16.05696589,FSD1L
ENSG00000204642,-0.963975457,7.604735717,-7.453627789,1.36911955662255e-11,1.24821192984299e-09,15.91825455,HLA-F
ENSG00000113615,0.863686513,4.906281235,7.453080249,1.37304784335994e-11,1.24821192984299e-09,15.96492665,SEC24A
ENSG00000140319,0.708012777,6.591426616,7.452158949,1.37968287342069e-11,1.24821192984299e-09,15.89820387,SRP14
ENSG00000165629,0.659785192,6.768520439,7.440820867,1.46258847816785e-11,1.31556874617167e-09,15.84139766,ATP5F1C
ENSG00000187257,-0.638544601,6.091207796,-7.425796773,1.5798533816934e-11,1.41287922255925e-09,15.76540337,RSBN1L
ENSG00000185905,-0.695985452,6.509220044,-7.407872087,1.73904935213885e-11,1.54636268392186e-09,15.66982634,C16orf54
ENSG00000108433,0.577874667,5.636838371,7.399612385,1.80461270419059e-11,1.5955442210176e-09,15.65525287,GOSR2
ENSG00000085491,0.78214549,5.364070901,7.397344218,1.83729759833254e-11,1.60867571507839e-09,15.65282878,SLC25A24
ENSG00000120438,0.570680702,6.126810392,7.395878597,1.84014059047589e-11,1.60867571507839e-09,15.61965704,TCP1
ENSG00000010404,-0.768948388,7.354965084,-7.395088824,1.85905021913202e-11,1.61612739999516e-09,15.61274851,IDS
ENSG00000033178,0.820623736,5.714001954,7.384587616,1.96373888592338e-11,1.69417913125371e-09,15.5718461,UBA6
ENSG00000182118,1.976840341,3.103983125,7.383918037,1.97060871895715e-11,1.69417913125371e-09,15.66581169,FAM89A
ENSG00000213694,-1.205520017,2.109289347,-7.374497843,2.06073438277968e-11,1.76192789727662e-09,15.53405816,S1PR3
ENSG00000116574,1.484340583,3.746339582,7.370572243,2.11261174514596e-11,1.79641264296264e-09,15.60439532,RHOU
ENSG00000213281,0.666270934,4.764646667,7.352677211,2.30653039658734e-11,1.95064779898345e-09,15.46308104,NRAS
ENSG00000152700,0.525133423,5.422517084,7.330337238,2.58957403607018e-11,2.17818170677233e-09,15.30617507,SAR1B
ENSG00000257017,2.085217028,6.716336022,7.326454141,2.65814270427001e-11,2.22383648500783e-09,15.27333658,HP
ENSG00000197183,-0.814587957,4.663086263,-7.309067391,2.90960053488283e-11,2.4211921884124e-09,15.23624912,NOL4L
ENSG00000143641,1.208775504,5.333676801,7.307534589,2.93286748439728e-11,2.42757185769714e-09,15.20667193,GALNT2
ENSG00000174837,1.340903332,5.895266294,7.303765521,2.99086611535596e-11,2.46247976830974e-09,15.17048924,ADGRE1
ENSG00000184602,-0.960245367,5.216452992,-7.292755465,3.16687510554668e-11,2.59367071144273e-09,15.12650794,SNN
ENSG00000106714,-1.634791037,6.277405953,-7.290553146,3.20329387345894e-11,2.60976209240286e-09,15.08189851,CNTNAP3
ENSG00000187912,-1.674549853,3.534168844,-7.28296546,3.33197320447663e-11,2.69429562022291e-09,15.16752682,CLEC17A
ENSG00000142892,0.872230061,4.232054504,7.282404832,3.3416814774309e-11,2.69429562022291e-09,15.14032606,PIGK
ENSG00000007944,-0.778725038,5.266256975,-7.262275604,3.70944476272321e-11,2.97539535838845e-09,14.96033765,MYLIP
ENSG00000139278,-0.798876719,6.932184477,-7.258471061,3.78332787369371e-11,3.01909564320758e-09,14.91225264,GLIPR1
ENSG00000109323,-0.620617142,6.898705645,-7.25260258,3.89073161894226e-11,3.0889629960388e-09,14.88384471,MANBA
ENSG00000072571,2.230287902,1.020149838,7.245706933,4.04201051747049e-11,3.19277795240398e-09,14.7689633,HMMR
ENSG00000032444,0.842262635,6.555053622,7.238115345,4.20409115784111e-11,3.30403345995786e-09,14.80885048,PNPLA6
ENSG00000064225,-0.884730523,6.921631249,-7.225518467,4.48734898803061e-11,3.50892651270072e-09,14.74498884,ST3GAL6
ENSG00000188186,-0.742957059,6.813900659,-7.217998461,4.66536943395961e-11,3.62989068809227e-09,14.70580618,LAMTOR4
ENSG00000075142,0.654065549,5.829144641,7.191605972,5.3427761461387e-11,4.13626565224201e-09,14.58644001,SRI
ENSG00000105220,0.923004407,6.006543442,7.189266698,5.41228795051966e-11,4.15128183478758e-09,14.56859262,GPI
ENSG00000196562,-1.338382246,5.825918304,-7.188845015,5.42408812684037e-11,4.15128183478758e-09,14.57327289,SULF2
ENSG00000105287,-0.779883454,6.069157668,-7.188199373,5.44220483450078e-11,4.15128183478758e-09,14.55860057,PRKD2
ENSG00000156411,0.692754833,6.180299599,7.174740406,5.8338010383042e-11,4.42828185156349e-09,14.49039471,ATP5MPL
ENSG00000135407,-1.035771023,4.99080649,-7.165205275,6.12798478215164e-11,4.62900831043989e-09,14.48616637,AVIL
ENSG00000065154,0.951234401,5.638424481,7.159122417,6.3232792766617e-11,4.75345646493395e-09,14.43772345,OAT
ENSG00000122783,-1.055156594,9.639377655,-7.154884885,6.46295606147941e-11,4.83509900349428e-09,14.45288946,CYREN
ENSG00000228278,-1.110377437,4.715162207,-7.143913704,6.83893324628987e-11,5.09189666246491e-09,14.40544813,ORM2
ENSG00000128271,1.042275995,4.704593258,7.136072702,7.1208255883915e-11,5.2765317609981e-09,14.38250639,ADORA2A
ENSG00000118515,-1.196074066,5.169078636,-7.126252181,7.49015078284537e-11,5.52389745648611e-09,14.28523285,SGK1
ENSG00000124134,-0.939892776,2.299278271,-7.119175741,7.72597732025395e-11,5.67094023964489e-09,14.31609726,KCNS1
ENSG00000146285,-1.163199725,4.670314336,-7.118779376,7.78382674238116e-11,5.68657877644099e-09,14.28894374,SCML4
ENSG00000120685,0.860425895,6.115578284,7.117537556,7.83372141577715e-11,5.69628686686487e-09,14.20727709,PROSER1
ENSG00000213064,0.601671165,5.820142366,7.11383866,7.95754356873669e-11,5.75941095223775e-09,14.19572411,SFT2D2
ENSG00000057657,-0.967601411,5.423590628,-7.108876633,8.19061663389215e-11,5.90065673333314e-09,14.17882951,PRDM1
ENSG00000148346,2.805226522,7.737488386,7.103280116,8.42974397532485e-11,6.04494221198295e-09,14.15369129,LCN2
ENSG00000123689,2.091643595,3.077979232,7.101926223,8.48862290826849e-11,6.05924133374156e-09,14.26330727,G0S2
ENSG00000156414,1.557832243,5.938276312,7.100320835,8.55896658124216e-11,6.08155611738398e-09,14.13921926,TDRD9
ENSG00000129084,0.497966808,7.203983496,7.095089451,8.74519066666495e-11,6.18563236199878e-09,14.096342,PSMA1
ENSG00000065559,-0.727141452,6.618564285,-7.082512957,9.37901176781718e-11,6.60392769769245e-09,14.02109211,MAP2K4
ENSG00000143382,-1.216021356,5.939933653,-7.075310347,9.73234979330151e-11,6.82185113214256e-09,13.99616639,ADAMTSL4
ENSG00000135047,1.843772821,3.173601728,7.068463446,1.00804352867241e-10,7.03415486532349e-09,14.10156152,CTSL
ENSG00000109046,0.921953388,8.469850787,7.060284498,1.05124133737144e-10,7.30284216555223e-09,13.94435824,WSB1
