,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000174611,-3.178121255,4.55722749,-12.13863861,8.12091265808986e-23,1.26369521872536e-18,41.17461312,KY
ENSG00000133943,-1.67692009,6.86882174,-11.7630526,6.61873527072016e-22,5.14970697738382e-18,39.24962512,DGLUCY
ENSG00000145287,1.985330252,8.474482373,11.41205492,4.72206569301944e-21,2.44933547496919e-17,37.31003259,PLAC8
ENSG00000154928,-3.287133247,5.648043419,-11.04223198,3.75295176631802e-20,1.45999206089187e-16,35.26194943,EPHB1
ENSG00000084110,-2.033199067,7.101691443,-10.72983462,2.16295838942719e-19,6.73155909957529e-16,33.55580212,HAL
ENSG00000137261,-2.331181724,0.857321469,-10.55630342,5.70323615002364e-19,1.45622109972155e-15,31.24123636,KIAA0319
ENSG00000244617,-2.445101,2.457882466,-10.53211992,6.55070220297593e-19,1.45622109972155e-15,32.01248597,ASPRV1
ENSG00000196850,-0.812358918,5.012150587,-10.44458782,1.05216698591217e-18,2.04659630847241e-15,31.99944755,PPTC7
ENSG00000196549,-2.703248646,6.997084702,-10.24143618,3.33538384354912e-18,5.13897510534763e-15,30.86718596,MME
ENSG00000163221,2.486976881,11.50112731,10.23096743,3.53656796021526e-18,5.13897510534763e-15,30.78576758,S100A12
ENSG00000152518,-1.097444054,6.326913001,-10.22617254,3.63271808745093e-18,5.13897510534763e-15,30.7798158,ZFP36L2
ENSG00000168016,-1.764221152,5.763043986,-10.12846367,6.27398405611482e-18,8.1357888247669e-15,30.24691937,TRANK1
ENSG00000134333,1.262693504,8.229870557,10.04665321,9.91083043893322e-18,1.18632640354031e-14,29.79830596,LDHA
ENSG00000139890,-2.062774102,3.226346304,-9.969481563,1.52508764250707e-17,1.69513491464661e-14,29.24099308,REM2
ENSG00000118898,-1.522082752,5.01124109,-9.930883915,1.89176624979498e-17,1.96251830753731e-14,29.16638309,PPL
ENSG00000134242,1.096271136,6.285127984,9.902002734,2.2226041584157e-17,2.16162145681917e-14,28.99954049,PTPN22
ENSG00000099991,-1.346986405,6.508947706,-9.88020436,2.51002624250809e-17,2.21803370028925e-14,28.87954103,CABIN1
ENSG00000167261,-1.372971025,6.949523189,-9.876272731,2.5656838638395e-17,2.21803370028925e-14,28.85828571,DPEP2
ENSG00000188897,-2.047449863,4.757782289,-9.773679435,4.54580616581459e-17,3.72301524980215e-14,28.30462662,AC099489.1
ENSG00000135378,-1.448577123,4.047998733,-9.709842614,6.48688683528233e-17,5.04712230219142e-14,27.93300723,PRRG4
ENSG00000178789,-1.447436221,3.986918277,-9.69994042,6.85456747038173e-17,5.07923449555286e-14,27.8786026,CD300LB
ENSG00000100605,-1.267320441,6.634594,-9.662492404,8.44314580870595e-17,5.97199054223969e-14,27.68585858,ITPK1
ENSG00000078487,-1.300086525,4.84315372,-9.650423082,9.0296502866595e-17,6.10914730916124e-14,27.6351532,ZCWPW1
ENSG00000153208,2.521451678,3.56582001,9.464238697,2.54105131111045e-16,1.58792673030838e-13,26.54229567,MERTK
ENSG00000143546,2.273736472,13.79756082,9.463525279,2.55113220600923e-16,1.58792673030838e-13,26.57179891,S100A8
ENSG00000139572,3.197482531,3.988449263,9.386077156,3.92007309017575e-16,2.29978520139636e-13,26.13765918,GPR84
ENSG00000122679,-3.371541479,2.038440242,-9.380642153,4.03996817389088e-16,2.29978520139636e-13,25.73443265,RAMP3
ENSG00000131480,-1.292255914,2.280082368,-9.374094193,4.13816500476177e-16,2.29978520139636e-13,25.82312538,AOC2
ENSG00000138777,0.78077885,6.496587465,9.362409528,4.43853809955984e-16,2.38165832300864e-13,26.0530031,PPA2
ENSG00000114656,-1.416832576,3.808405143,-9.289030722,6.71032492503254e-16,3.48064553861438e-13,25.65554232,KIAA1257
ENSG00000100902,0.880846775,6.780551355,9.182450432,1.20972194636823e-15,6.07241393788259e-13,25.06821174,PSMA6
ENSG00000163346,-0.933591639,5.474471389,-9.173362837,1.27199683169922e-15,6.18548209314737e-13,25.02910815,PBXIP1
