,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000176014,0.015365127,3.051262456,0.062152195,0.950567327,0.97809814,-6.294748399,TUBB6
ENSG00000155463,0.004801211,5.756601759,0.062017504,0.950674149,0.978132701,-6.69946711,OXA1L
ENSG00000185899,0.030074411,0.299023644,0.061951641,0.950726631,0.978132701,-5.739150516,TAS2R60
ENSG00000144152,-0.015636808,0.411286898,-0.061733014,0.950900293,0.978183085,-5.78119618,FBLN7
ENSG00000131115,-0.008043923,4.296329851,-0.061731714,0.950901325,0.978183085,-6.53925298,ZNF227
ENSG00000113356,-0.008171303,3.971684658,-0.06139576,0.951168188,0.978392925,-6.478101029,POLR3G
ENSG00000179698,0.00798887,0.203127866,0.061057534,0.951436699,0.978544081,-5.690903395,WDR97
ENSG00000198625,0.003953865,8.018287201,0.061052238,0.951440907,0.978544081,-6.654504147,MDM4
ENSG00000120162,0.009988996,2.076360795,0.060927921,0.951539785,0.978581098,-6.092477951,MOB3B
ENSG00000161654,-0.004195846,5.015343687,-0.060565318,0.951827708,0.978812514,-6.641697568,LSM12
ENSG00000111676,0.009850304,2.124913819,0.060426605,0.951938009,0.978861254,-6.08158975,ATN1
ENSG00000114648,-0.006415286,4.667942364,-0.060208581,0.952111261,0.978974715,-6.600085661,KLHL18
ENSG00000110801,-0.004960795,5.299323964,-0.060076311,0.9522162,0.979015248,-6.671126479,PSMD9
ENSG00000100395,-0.008417961,2.853068722,-0.059938828,0.952325528,0.979015248,-6.247894535,L3MBTL2
ENSG00000187048,0.026057295,-1.327209062,0.059921371,0.952339426,0.979015248,-5.471875988,CYP4A11
ENSG00000135148,0.006092532,6.518923328,0.05954777,0.952636227,0.979177774,-6.708789887,TRAFD1
ENSG00000160593,-0.008075095,8.912995409,-0.059536511,0.952645172,0.979177774,-6.612664413,JAML
ENSG00000175573,0.005323118,4.3757215,0.059432272,0.952727826,0.979177774,-6.55428342,C11orf68
ENSG00000143318,0.02569694,-1.747404188,0.059405536,0.952749224,0.979177774,-5.423484762,CASQ1
ENSG00000198721,-0.014136995,2.722995316,-0.059298443,0.952834304,0.979200542,-6.215667357,ECI2
ENSG00000117676,0.006910146,7.956325332,0.059216644,0.95289929,0.979202658,-6.659731105,RPS6KA1
ENSG00000101019,0.007084627,4.507903026,0.058991438,0.953078208,0.979265331,-6.573617797,UQCC1
ENSG00000146373,0.00791746,5.063190546,0.058975022,0.95309125,0.979265331,-6.645343626,RNF217
ENSG00000155966,0.009427916,4.482653968,0.058833189,0.953203932,0.979265331,-6.571092929,AFF2
ENSG00000163661,-0.019743672,1.314072687,-0.058720472,0.953293483,0.979265331,-5.969393893,PTX3
ENSG00000185864,-0.005707647,8.324926064,-0.058617578,0.953375231,0.979265331,-6.64035963,NPIPB4
ENSG00000177058,-0.005841993,5.74640536,-0.058577025,0.953407449,0.979265331,-6.699182516,SLC38A9
ENSG00000177868,0.009248993,4.520903914,0.05849475,0.953472817,0.979265331,-6.567383032,SVBP
ENSG00000187955,0.008496873,1.599905987,0.058361504,0.953578525,0.979265331,-5.955999339,COL14A1
ENSG00000095110,-0.023347848,-1.460961561,-0.058360983,0.953579094,0.979265331,-5.470088941,NXPE1
ENSG00000182944,-0.002440219,7.208706685,-0.058347581,0.953589586,0.979265331,-6.692337475,EWSR1
ENSG00000133800,0.013946954,3.281483985,0.058006086,0.953861062,0.979384809,-6.368003175,LYVE1
ENSG00000121594,-0.016740459,0.364705953,-0.057999177,0.953866551,0.979384809,-5.73727661,CD80
ENSG00000042445,-0.004253923,5.61465289,-0.057853428,0.953982197,0.979384809,-6.689955165,RETSAT
ENSG00000164764,0.008351452,1.531422923,0.057765191,0.954052304,0.979384809,-5.949210256,SBSPON
