,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000101856,-1.272271518,4.678581199,-10.23168953,3.53E-17,5.49E-13,28.46536374,PGRMC1
ENSG00000133943,-1.305075868,7.146477799,-8.895537519,2.86E-14,2.22E-10,22.05757123,DGLUCY
ENSG00000022267,-1.798609492,3.155054757,-8.56603753,1.48E-13,7.67E-10,20.19640615,FHL1
ENSG00000271503,-1.711889845,6.016749667,-8.472468538,2.36E-13,9.16E-10,20.00692274,CCL5
ENSG00000168497,-2.036039775,4.447201418,-8.278388558,6.17E-13,1.47E-09,19.03250111,CAVIN2
ENSG00000197375,-0.936665197,4.000934428,-8.268493302,6.48E-13,1.47E-09,18.9643536,SLC22A5
ENSG00000168016,-1.179366754,6.109174187,-8.264001202,6.63E-13,1.47E-09,19.00464113,TRANK1
ENSG00000120254,1.651272983,3.19875228,8.215827985,8.41E-13,1.64E-09,18.63666075,MTHFD1L
ENSG00000101162,-1.742075974,6.00320828,-8.18984209,9.56E-13,1.65E-09,18.64766347,TUBB1
ENSG00000156113,3.776234494,3.515273492,8.159938861,1.11E-12,1.73E-09,18.38998843,KCNMA1
ENSG00000119714,-1.831160284,3.129949868,-7.946182687,3.18E-12,4.50E-09,17.22783064,GPR68
ENSG00000069020,1.791621793,4.952368386,7.875347825,4.51E-12,5.84E-09,17.14320545,MAST4
ENSG00000196684,-1.302270649,5.597105315,-7.837632533,5.42E-12,6.49E-09,16.96511752,HSH2D
ENSG00000124491,-1.732321985,6.205245182,-7.806630558,6.31E-12,7.02E-09,16.81700083,F13A1
ENSG00000173868,-1.565748188,7.453795615,-7.76254225,7.83E-12,8.13E-09,16.60750417,PHOSPHO1
ENSG00000119402,0.982347498,6.412823771,7.691918869,1.11E-11,1.08E-08,16.26981708,FBXW2
ENSG00000101335,-2.159070682,4.111568517,-7.637617396,1.44E-11,1.32E-08,15.98095132,MYL9
ENSG00000244617,-1.874328796,2.594313997,-7.533017969,2.40E-11,2.08E-08,15.18156378,ASPRV1
ENSG00000154146,-1.695182706,6.955123284,-7.398280407,4.62E-11,3.78E-08,14.88629731,NRGN
ENSG00000026950,-1.086823146,6.47978979,-7.378340415,5.09E-11,3.96E-08,14.79035766,BTN3A1
ENSG00000177324,-1.699537214,1.191261289,-7.283555986,8.04E-11,5.96E-08,13.51770879,BEND2
ENSG00000127920,-1.778613343,2.221833903,-7.249724721,9.46E-11,6.69E-08,13.8823842,GNG11
ENSG00000153162,-1.152566002,1.795818767,-7.160451773,1.45E-10,9.78E-08,13.35734364,BMP6
ENSG00000164691,-0.899384874,6.885505985,-7.085049065,2.09E-10,1.30E-07,13.42204601,TAGAP
ENSG00000125384,0.955735246,5.486910488,7.084096868,2.10E-10,1.30E-07,13.42246143,PTGER2
ENSG00000154978,0.738351202,6.624782754,7.069580023,2.25E-10,1.32E-07,13.34832295,VOPP1
ENSG00000113318,0.772227439,4.590703164,7.065594487,2.29E-10,1.32E-07,13.35058566,MSH3
ENSG00000255398,-2.089581546,3.911837608,-7.042342724,2.56E-10,1.38E-07,13.21662316,HCAR3
ENSG00000182782,-1.83345793,4.287767341,-7.041749806,2.57E-10,1.38E-07,13.23733764,HCAR2
ENSG00000135378,-1.120011187,4.254583598,-6.998245198,3.16E-10,1.64E-07,13.04156281,PRRG4
ENSG00000119638,0.574514409,5.840036163,6.961073583,3.76E-10,1.89E-07,12.85056396,NEK9
ENSG00000111644,-1.424438043,4.532055395,-6.92742581,4.42E-10,2.15E-07,12.7181986,ACRBP
ENSG00000136999,-2.725197619,0.195618208,-6.920641508,4.57E-10,2.15E-07,11.3670549,CCN3
ENSG00000165702,-1.221976756,3.238008137,-6.886923102,5.36E-10,2.45E-07,12.48966276,GFI1B
ENSG00000137261,-1.400608382,1.64134266,-6.868796551,5.84E-10,2.59E-07,11.96422768,KIAA0319
ENSG00000177119,-0.619655079,5.161932742,-6.863078745,5.99E-10,2.59E-07,12.41267233,ANO6
ENSG00000198478,-1.526012745,3.806017699,-6.793375262,8.35E-10,3.39E-07,12.10168686,SH3BGRL2
ENSG00000115425,0.946967684,5.929528189,6.792994893,8.36E-10,3.39E-07,12.07590696,PECR
ENSG00000162971,0.870417687,4.227229073,6.789782185,8.49E-10,3.39E-07,12.09235061,TYW5
ENSG00000174611,-1.693909939,5.573028076,-6.782276007,8.80E-10,3.42E-07,12.04197378,KY
ENSG00000164120,2.584504406,5.04616162,6.772724196,9.20E-10,3.49E-07,12.0113619,HPGD
ENSG00000075303,0.980710807,6.677773756,6.761996829,9.68E-10,3.53E-07,11.93422308,SLC25A40
ENSG00000156265,-1.025605106,4.564239484,-6.754323535,1.00E-09,3.53E-07,11.92971526,MAP3K7CL
ENSG00000133657,0.973400318,6.665377375,6.753354764,1.01E-09,3.53E-07,11.89478139,ATP13A3
ENSG00000110002,1.555664458,3.138806004,6.750766073,1.02E-09,3.53E-07,11.87842287,VWA5A
ENSG00000005249,-1.359954686,5.075751648,-6.736773685,1.09E-09,3.69E-07,11.8397933,PRKAR2B
ENSG00000111731,0.848950492,7.192352238,6.722070988,1.17E-09,3.87E-07,11.75659629,C2CD5
ENSG00000156414,1.585209093,5.554808845,6.689827484,1.36E-09,4.41E-07,11.61467177,TDRD9
ENSG00000172594,1.716216429,4.251277757,6.684356226,1.40E-09,4.43E-07,11.61641143,SMPDL3A
ENSG00000180354,-0.964240175,5.019730239,-6.676827024,1.45E-09,4.50E-07,11.56799914,MTURN
ENSG00000124508,-0.657293893,4.16165909,-6.659505608,1.56E-09,4.77E-07,11.50874141,BTN2A2
ENSG00000154928,-1.668707661,6.793187452,-6.631266649,1.79E-09,5.27E-07,11.34247219,EPHB1
ENSG00000228716,0.873329532,5.299872109,6.630548447,1.80E-09,5.27E-07,11.34935587,DHFR
ENSG00000184005,1.553942179,4.986446539,6.62025687,1.88E-09,5.39E-07,11.30779284,ST6GALNAC3
ENSG00000172794,-0.743796402,5.818246677,-6.616651099,1.92E-09,5.39E-07,11.27533883,RAB37
ENSG00000113140,-1.961431986,5.851016788,-6.614024905,1.94E-09,5.39E-07,11.27605638,SPARC
ENSG00000108798,-1.398859593,4.911383998,-6.605401862,2.02E-09,5.52E-07,11.25051742,ABI3
ENSG00000164167,0.83502903,5.331777693,6.588027679,2.19E-09,5.78E-07,11.15310375,LSM6
ENSG00000023902,-1.018814177,5.568264511,-6.588003441,2.19E-09,5.78E-07,11.1559097,PLEKHO1
ENSG00000118242,1.122622975,4.879594502,6.583779069,2.24E-09,5.80E-07,11.14618984,MREG
ENSG00000110079,1.772378899,5.338325792,6.511837073,3.13E-09,7.98E-07,10.81572271,MS4A4A
ENSG00000123836,1.827292821,6.41650645,6.491848504,3.43E-09,8.60E-07,10.71288855,PFKFB2
ENSG00000135441,0.821962289,6.85608204,6.488635705,3.48E-09,8.60E-07,10.69550314,BLOC1S1
ENSG00000169174,3.360353746,0.205555921,6.45428929,4.09E-09,9.78E-07,9.971721823,PCSK9
ENSG00000169313,-1.448480994,2.555249126,-6.451421334,4.14E-09,9.78E-07,10.48792271,P2RY12
ENSG00000227729,2.437689432,1.915224353,6.451121567,4.15E-09,9.78E-07,10.4138317,RD3L
ENSG00000135424,2.924513192,3.523863922,6.432578056,4.52E-09,1.05E-06,10.48796771,ITGA7
ENSG00000137869,3.441015665,1.3637132,6.427925185,4.62E-09,1.06E-06,10.16233266,CYP19A1
ENSG00000058866,-1.170238289,4.715959401,-6.396327015,5.34E-09,1.21E-06,10.31771034,DGKG
ENSG00000163958,3.033838984,4.27377358,6.390158716,5.50E-09,1.22E-06,10.30344018,ZDHHC19
ENSG00000183019,1.663195568,7.264032304,6.339202973,6.96E-09,1.52E-06,10.03431702,MCEMP1
ENSG00000134602,0.53097575,5.326081665,6.333374548,7.13E-09,1.54E-06,10.01210331,STK26
ENSG00000185340,-1.169384958,2.699809847,-6.325563455,7.41E-09,1.58E-06,9.953991038,GAS2L1
ENSG00000136205,-0.993681103,3.867013035,-6.307159675,8.06E-09,1.70E-06,9.941521192,TNS3
ENSG00000102531,0.502290096,5.728019667,6.293118788,8.58E-09,1.78E-06,9.823553852,FNDC3A
ENSG00000204257,-0.964601643,4.858063296,-6.271615955,9.49E-09,1.94E-06,9.761406566,HLA-DMA
ENSG00000138735,0.964281355,7.811277032,6.268375029,9.64E-09,1.95E-06,9.725527981,PDE5A
ENSG00000127603,0.654187841,7.871526799,6.264430873,9.81E-09,1.96E-06,9.708442032,MACF1
ENSG00000078124,0.992618965,6.135475203,6.179505572,1.45E-08,2.85E-06,9.317128144,ACER3
ENSG00000180776,1.05616236,8.131363212,6.170744973,1.51E-08,2.93E-06,9.302393448,ZDHHC20
ENSG00000119280,-1.327310575,1.902172932,-6.167159055,1.53E-08,2.94E-06,9.082789562,C1orf198
ENSG00000168958,0.558391157,6.875600496,6.156457156,1.61E-08,3.05E-06,9.217439966,MFF
ENSG00000148700,0.508427023,8.511085665,6.153051053,1.63E-08,3.05E-06,9.233294807,ADD3
ENSG00000156140,2.726191989,-0.41033685,6.140615496,1.73E-08,3.20E-06,8.300305601,ADAMTS3
ENSG00000152766,1.647085005,3.951897483,6.133149297,1.79E-08,3.27E-06,9.178731537,ANKRD22
ENSG00000173825,-1.824910135,1.072841358,-6.125953923,1.85E-08,3.34E-06,8.67199649,TIGD3
ENSG00000164181,-1.482652545,3.169752585,-6.104733279,2.03E-08,3.64E-06,9.045890292,ELOVL7
ENSG00000198018,0.970439722,4.25644828,6.072697281,2.35E-08,4.16E-06,8.907606239,ENTPD7
ENSG00000266265,2.750847962,-0.078773455,6.061146606,2.48E-08,4.29E-06,8.122093884,KLF14
ENSG00000100342,-0.924323932,5.488305512,-6.061134779,2.48E-08,4.29E-06,8.815946654,APOL1
ENSG00000163346,-0.72549632,5.687149836,-6.057516209,2.52E-08,4.31E-06,8.788679191,PBXIP1
ENSG00000145555,1.218070769,2.826483139,6.043890328,2.68E-08,4.53E-06,8.781932545,MYO10
ENSG00000119922,-1.740904464,5.21992612,-6.029785052,2.86E-08,4.75E-06,8.700748548,IFIT2
ENSG00000139318,-0.941683402,5.733323423,-6.02855029,2.87E-08,4.75E-06,8.663346837,DUSP6
ENSG00000105784,1.138239418,1.939533279,6.026590225,2.90E-08,4.75E-06,8.608143162,RUNDC3B
ENSG00000138821,1.188405477,4.502773316,6.013560337,3.07E-08,4.98E-06,8.63718114,SLC39A8
ENSG00000166963,-1.353522835,-0.473455586,-6.000811065,3.25E-08,5.19E-06,7.467733162,MAP1A
ENSG00000204936,2.509418306,7.445360314,6.000167987,3.27E-08,5.19E-06,8.552710583,CD177
ENSG00000133116,1.743721076,0.588040812,5.99086986,3.41E-08,5.35E-06,8.10602639,KL
ENSG00000163221,1.712699084,11.02926135,5.98888748,3.44E-08,5.35E-06,8.555805186,S100A12
ENSG00000134333,0.779841754,7.98021687,5.974802429,3.66E-08,5.64E-06,8.442651997,LDHA
ENSG00000002586,-0.710338279,6.496985155,-5.946822809,4.15E-08,6.34E-06,8.298332578,CD99
ENSG00000128335,-0.833684014,6.415582747,-5.943854255,4.21E-08,6.36E-06,8.285912551,APOL2
ENSG00000173744,0.927967788,8.086112955,5.905017367,5.01E-08,7.50E-06,8.143728349,AGFG1
ENSG00000186470,-0.872125791,5.658521648,-5.882997755,5.53E-08,8.17E-06,8.033577403,BTN3A2
ENSG00000139192,-0.45729296,5.581330668,-5.880862817,5.57E-08,8.17E-06,8.027821375,TAPBPL
ENSG00000100784,-1.091395882,5.167291904,-5.879349235,5.62E-08,8.17E-06,8.044196209,RPS6KA5
ENSG00000184371,-1.17815296,3.631473471,-5.853688201,6.30E-08,9.08E-06,7.988198057,CSF1
ENSG00000154710,0.668317813,5.894080527,5.851718046,6.36E-08,9.08E-06,7.888894475,RABGEF1
ENSG00000136826,-0.983259424,3.19779695,-5.843995875,6.58E-08,9.24E-06,7.946395093,KLF4
ENSG00000150637,-1.117438153,4.854103912,-5.842075886,6.64E-08,9.24E-06,7.891081138,CD226
ENSG00000088930,0.619494856,6.233993782,5.841579819,6.65E-08,9.24E-06,7.842801482,XRN2
ENSG00000165312,0.770526695,4.533089505,5.839138897,6.73E-08,9.26E-06,7.884240428,OTUD1
ENSG00000019102,-1.220515401,2.892248941,-5.818145243,7.38E-08,1.01E-05,7.826281705,VSIG2
ENSG00000100351,-1.084569888,5.375690962,-5.810228305,7.65E-08,1.04E-05,7.732150206,GRAP2
ENSG00000120278,1.253552511,3.791562187,5.785431068,8.54E-08,1.15E-05,7.692285928,PLEKHG1
ENSG00000096996,-0.710374935,3.656272597,-5.754994406,9.77E-08,1.30E-05,7.574472047,IL12RB1
ENSG00000073910,-0.625704352,6.423713537,-5.750123339,9.99E-08,1.32E-05,7.451816069,FRY
ENSG00000164512,1.227038249,3.344088965,5.74828682,1.01E-07,1.32E-05,7.545890994,ANKRD55
ENSG00000143252,0.5466067,6.286127516,5.734827851,1.07E-07,1.39E-05,7.385249006,SDHC
ENSG00000218739,0.575326645,5.666353605,5.712865419,1.18E-07,1.51E-05,7.297720756,CEBPZOS
ENSG00000184743,0.442539591,4.969810079,5.702274627,1.23E-07,1.57E-05,7.285389775,ATL3
ENSG00000170439,3.051461958,1.585348331,5.695657326,1.27E-07,1.61E-05,7.182509044,METTL7B
ENSG00000242574,-1.320850626,4.221033676,-5.693026637,1.29E-07,1.61E-05,7.298567567,HLA-DMB
ENSG00000145287,0.971849524,8.079687652,5.689952233,1.30E-07,1.62E-05,7.222983617,PLAC8
ENSG00000174132,-0.787609965,3.791383909,-5.685746833,1.33E-07,1.64E-05,7.277120663,FAM174A
ENSG00000178974,0.581193165,4.95700458,5.680757814,1.36E-07,1.66E-05,7.187545455,FBXO34
ENSG00000072422,-1.556089111,1.030232275,-5.668703775,1.43E-07,1.74E-05,6.918670918,RHOBTB1
ENSG00000214688,-0.948922409,2.778459801,-5.667327763,1.44E-07,1.74E-05,7.192336033,C10orf105
ENSG00000144130,-2.53654966,0.411390436,-5.664387213,1.46E-07,1.74E-05,6.56161571,NT5DC4
ENSG00000109272,-2.908314386,3.116503838,-5.663349949,1.46E-07,1.74E-05,7.18467624,PF4V1
ENSG00000146374,2.420281077,-1.541273656,5.648099772,1.57E-07,1.85E-05,5.88951712,RSPO3
ENSG00000107438,-1.030334645,4.311121517,-5.644766182,1.59E-07,1.85E-05,7.086588249,PDLIM1
ENSG00000276231,-1.006499295,2.166214024,-5.644644566,1.59E-07,1.85E-05,7.04464277,PIK3R6
ENSG00000155307,1.286122014,7.777986298,5.637633338,1.64E-07,1.89E-05,6.999806752,SAMSN1
ENSG00000204287,-1.22006773,7.416871537,-5.630210738,1.69E-07,1.94E-05,6.954283243,HLA-DRA
ENSG00000136908,-1.286911038,5.266213028,-5.620641766,1.77E-07,2.01E-05,6.939702216,DPM2
ENSG00000167768,-2.349447612,3.894180734,-5.616894317,1.80E-07,2.02E-05,6.996387569,KRT1
ENSG00000214654,0.730463681,3.490175952,5.61534129,1.81E-07,2.02E-05,6.99283371,B3GNT10
ENSG00000010704,-0.92160178,3.306121442,-5.611692847,1.84E-07,2.04E-05,6.981689431,HFE
ENSG00000166086,-1.025407187,2.999893951,-5.608373792,1.86E-07,2.06E-05,6.966059089,JAM3
ENSG00000197415,-1.320604624,2.509663899,-5.603985105,1.90E-07,2.08E-05,6.91963961,VEPH1
ENSG00000178057,-0.572343216,5.24905307,-5.596577452,1.96E-07,2.13E-05,6.826565396,NDUFAF3
ENSG00000138621,-0.85353093,5.884592917,-5.595948502,1.97E-07,2.13E-05,6.807775432,PPCDC
ENSG00000074800,0.560863235,7.887160179,5.591502391,2.01E-07,2.15E-05,6.803265674,ENO1
ENSG00000065809,0.456250781,7.993235831,5.584311993,2.07E-07,2.20E-05,6.778146044,FAM107B
ENSG00000123933,-0.733591023,4.549446679,-5.582155593,2.09E-07,2.21E-05,6.810966283,MXD4
ENSG00000163737,-1.520821614,7.433572297,-5.578191015,2.13E-07,2.24E-05,6.741318182,PF4
ENSG00000116717,1.295493708,5.130424366,5.574282781,2.16E-07,2.26E-05,6.736423831,GADD45A
ENSG00000168036,0.413321759,6.858226727,5.565464243,2.24E-07,2.33E-05,6.675649877,CTNNB1
ENSG00000178896,0.997185355,3.917342394,5.548401108,2.42E-07,2.50E-05,6.692265302,EXOSC4
ENSG00000169252,-0.667164237,3.497183806,-5.543510311,2.47E-07,2.53E-05,6.699245302,ADRB2
ENSG00000204642,-0.680538187,7.808168127,-5.529442265,2.63E-07,2.66E-05,6.538394212,HLA-F
ENSG00000135503,0.898056642,5.162197682,5.528809463,2.64E-07,2.66E-05,6.540582629,ACVR1B
ENSG00000238243,-2.481283293,4.642748883,-5.527641337,2.65E-07,2.66E-05,6.605637563,OR2W3
ENSG00000111801,-1.010284379,4.930302943,-5.526005383,2.67E-07,2.66E-05,6.557561541,BTN3A3
ENSG00000196074,1.171928456,5.786102575,5.521681358,2.72E-07,2.70E-05,6.494764902,SYCP2
ENSG00000158578,-2.035659494,9.836082983,-5.518931316,2.75E-07,2.71E-05,6.542575468,ALAS2
ENSG00000167613,0.837239176,6.659520738,5.505798316,2.92E-07,2.85E-05,6.422821745,LAIR1
ENSG00000182118,1.522621111,2.783761451,5.503351134,2.95E-07,2.87E-05,6.537999147,FAM89A
ENSG00000132170,1.340808799,2.795216753,5.501116641,2.98E-07,2.87E-05,6.528912423,PPARG
ENSG00000017483,-1.223221215,5.094285311,-5.499892761,2.99E-07,2.87E-05,6.443169036,SLC38A5
ENSG00000093072,-0.741710314,5.688921436,-5.476728476,3.31E-07,3.14E-05,6.312148207,ADA2
ENSG00000161638,-0.650284165,6.645918193,-5.475510567,3.33E-07,3.14E-05,6.295584559,ITGA5
ENSG00000166681,-1.295757107,3.24877975,-5.475112686,3.33E-07,3.14E-05,6.422428101,BEX3
ENSG00000135362,-1.264780752,5.010459085,-5.452119344,3.68E-07,3.45E-05,6.253042209,PRR5L
ENSG00000041353,-1.035035934,2.997117729,-5.442722118,3.83E-07,3.56E-05,6.291984061,RAB27B
ENSG00000139572,1.739156579,3.333459664,5.441925572,3.84E-07,3.56E-05,6.283605922,GPR84
ENSG00000101439,-0.998407646,7.818723386,-5.434503069,3.97E-07,3.65E-05,6.143960386,CST3
ENSG00000114013,-1.151609802,4.027383052,-5.433529063,3.99E-07,3.65E-05,6.230206386,CD86
ENSG00000166169,-0.817958136,5.162244132,-5.431820711,4.02E-07,3.65E-05,6.148355433,POLL
ENSG00000125255,1.251198148,0.714613183,5.426825134,4.10E-07,3.69E-05,5.928006647,SLC10A2
ENSG00000115604,1.647268076,7.314348282,5.426581759,4.11E-07,3.69E-05,6.111794626,IL18R1
ENSG00000077157,-0.655355152,6.370550058,-5.418655181,4.25E-07,3.80E-05,6.059058231,PPP1R12B
ENSG00000196126,-1.152695104,5.430297989,-5.409699633,4.42E-07,3.92E-05,6.0570718,HLA-DRB1
ENSG00000108960,-0.966361385,5.190863986,-5.40877495,4.44E-07,3.92E-05,6.051967139,MMD
ENSG00000186469,0.454322456,7.388651732,5.399522079,4.61E-07,4.05E-05,5.993284643,GNG2
ENSG00000163082,0.665680888,1.365795458,5.386299134,4.88E-07,4.26E-05,5.921265134,SGPP2
ENSG00000163736,-1.445610834,7.626275629,-5.37428334,5.14E-07,4.46E-05,5.896955343,PPBP
ENSG00000178789,-0.878389086,4.436082157,-5.373828349,5.15E-07,4.46E-05,5.954980625,CD300LB
ENSG00000258102,-1.072679893,4.179943217,-5.371834622,5.20E-07,4.47E-05,5.960805484,MAP1LC3B2
ENSG00000101187,1.858986498,1.712397271,5.365310651,5.35E-07,4.54E-05,5.930287261,SLCO4A1
ENSG00000177989,-0.916338846,5.933493679,-5.365095903,5.35E-07,4.54E-05,5.843803337,ODF3B
ENSG00000073712,1.833977152,0.128337434,5.363497804,5.39E-07,4.54E-05,5.522657423,FERMT2
ENSG00000167705,-1.120784612,4.506356486,-5.362297514,5.42E-07,4.54E-05,5.911619393,RILP
ENSG00000113384,0.446924785,5.857277044,5.361569068,5.43E-07,4.54E-05,5.825366951,GOLPH3
ENSG00000256525,0.763670499,6.073556282,5.346893365,5.78E-07,4.81E-05,5.763736958,POLG2
ENSG00000179921,-0.887360879,3.007509407,-5.345391786,5.82E-07,4.82E-05,5.900459189,GPBAR1
ENSG00000143416,-1.837008242,6.415815472,-5.33807691,6.01E-07,4.93E-05,5.741298257,SELENBP1
ENSG00000116990,-1.51890908,1.431915429,-5.337771019,6.01E-07,4.93E-05,5.683219574,MYCL
ENSG00000163754,1.135362921,7.971193142,5.331774075,6.17E-07,5.03E-05,5.731067353,GYG1
ENSG00000185215,-0.802885063,7.515246836,-5.328145253,6.27E-07,5.06E-05,5.698504602,TNFAIP2
ENSG00000019582,-0.959867652,8.637076553,-5.327745486,6.28E-07,5.06E-05,5.723104105,CD74
ENSG00000176533,-0.975698649,1.987425355,-5.303250646,6.97E-07,5.59E-05,5.687653149,GNG7
ENSG00000163449,1.03296535,2.206799759,5.29508029,7.22E-07,5.73E-05,5.680207863,TMEM169
ENSG00000120913,-0.599234984,5.896822556,-5.294157211,7.25E-07,5.73E-05,5.552237173,PDLIM2
ENSG00000139697,0.304679343,4.329698469,5.290972406,7.33E-07,5.73E-05,5.615187172,SBNO1
ENSG00000264364,-0.420822761,3.815856337,-5.290861799,7.33E-07,5.73E-05,5.656956049,DYNLL2
ENSG00000196396,0.480593275,5.317662,5.291212556,7.33E-07,5.73E-05,5.555746391,PTPN1
ENSG00000110665,-0.496995285,5.654082815,-5.286595271,7.48E-07,5.81E-05,5.525595268,C11orf21
ENSG00000072694,-0.651254785,6.445882713,-5.285985348,7.50E-07,5.81E-05,5.513170794,FCGR2B
ENSG00000131149,-0.68972409,4.919881736,-5.283417459,7.58E-07,5.84E-05,5.551298584,GSE1
ENSG00000143110,0.748060199,7.76208512,5.280282671,7.69E-07,5.89E-05,5.51345766,C1orf162
ENSG00000105889,-1.905414742,-0.293445586,-5.271146361,7.99E-07,6.07E-05,5.132941373,STEAP1B
ENSG00000112312,0.798196756,4.035830294,5.270801964,8.00E-07,6.07E-05,5.548214012,GMNN
ENSG00000204634,0.779537037,6.096171239,5.266422385,8.15E-07,6.16E-05,5.433120806,TBC1D8
ENSG00000091592,-0.646752421,6.37189465,-5.261363184,8.33E-07,6.23E-05,5.41260454,NLRP1
ENSG00000240065,-0.690720492,6.518633767,-5.260012041,8.38E-07,6.23E-05,5.407345344,PSMB9
ENSG00000100632,0.625922809,5.712327607,5.259051168,8.41E-07,6.23E-05,5.40814541,ERH
ENSG00000138798,-1.560132061,1.310717401,-5.258805502,8.42E-07,6.23E-05,5.411585576,EGF
ENSG00000074964,-1.802213279,1.950150019,-5.2575333,8.47E-07,6.23E-05,5.447922184,ARHGEF10L
ENSG00000198873,-0.445778803,2.158147162,-5.256333155,8.49E-07,6.23E-05,5.517171391,GRK5
ENSG00000165182,1.666931404,1.713952929,5.252520356,8.65E-07,6.32E-05,5.481153869,CXorf58
ENSG00000073756,-0.961856378,4.515364286,-5.248274638,8.81E-07,6.40E-05,5.443217041,PTGS2
ENSG00000283528,1.776989438,-0.141398688,5.241790463,9.05E-07,6.55E-05,5.079031459,TCAF2C
ENSG00000162399,1.518481761,1.273066773,5.240491741,9.10E-07,6.56E-05,5.371870097,BSND
ENSG00000164116,-1.30398614,1.55165805,-5.237088348,9.23E-07,6.62E-05,5.356753262,GUCY1A1
ENSG00000164104,1.098567274,7.850305093,5.233374562,9.38E-07,6.69E-05,5.329274157,HMGB2
ENSG00000102755,-0.934090156,3.69882769,-5.227228839,9.63E-07,6.84E-05,5.405366237,FLT1
ENSG00000144320,0.721385439,5.924852679,5.2142873,1.02E-06,7.19E-05,5.223791827,LNPK
ENSG00000185897,2.242950018,1.413290385,5.208901395,1.04E-06,7.32E-05,5.266624465,FFAR3
ENSG00000231389,-1.148442419,5.495779382,-5.204721461,1.06E-06,7.42E-05,5.214819394,HLA-DPA1
ENSG00000178297,-1.514013413,0.446900558,-5.202015405,1.07E-06,7.47E-05,4.989205548,TMPRSS9
ENSG00000145335,-1.824081564,8.159660347,-5.200866551,1.08E-06,7.48E-05,5.196815331,SNCA
ENSG00000185614,-1.559731324,0.649413326,-5.197261061,1.09E-06,7.56E-05,5.064035964,INKA1
ENSG00000122986,-0.77314131,4.962970507,-5.186420924,1.14E-06,7.87E-05,5.161435344,HVCN1
ENSG00000166526,-0.404677777,4.960093771,-5.181069292,1.17E-06,7.96E-05,5.130662194,ZNF3
ENSG00000064201,-0.499829334,5.451064887,-5.181357657,1.17E-06,7.96E-05,5.104035379,TSPAN32
ENSG00000117569,0.753206242,6.024225834,5.180706881,1.17E-06,7.96E-05,5.085568964,PTBP2
ENSG00000146859,-0.556200895,7.464412052,-5.17728586,1.19E-06,8.04E-05,5.085493938,TMEM140
ENSG00000095932,-2.095405617,2.459725416,-5.167364227,1.24E-06,8.31E-05,5.187261633,SMIM24
ENSG00000156735,0.436327268,4.631870295,5.166888093,1.24E-06,8.31E-05,5.092671991,BAG4
ENSG00000147689,1.26157412,4.615308403,5.162302083,1.27E-06,8.45E-05,5.072228846,FAM83A
ENSG00000276644,1.096514322,3.715525491,5.154424323,1.31E-06,8.70E-05,5.10234035,DACH1
ENSG00000197629,-0.860009962,6.185575532,-5.145617988,1.36E-06,8.99E-05,4.947447802,MPEG1
ENSG00000106952,-0.719210414,4.612461742,-5.137527441,1.40E-06,9.26E-05,4.979946145,TNFSF8
ENSG00000152518,-0.501825072,6.716672492,-5.135041527,1.42E-06,9.32E-05,4.903056647,ZFP36L2
ENSG00000147852,1.101062976,1.2278345,5.132415772,1.44E-06,9.35E-05,4.949704165,VLDLR
ENSG00000178904,0.642326573,6.291935643,5.132020207,1.44E-06,9.35E-05,4.888220119,DPY19L3
ENSG00000162639,0.520966458,3.861052826,5.130986064,1.44E-06,9.35E-05,5.007308476,HENMT1
ENSG00000178814,1.281812445,3.30674846,5.127577762,1.46E-06,9.46E-05,5.016820506,OPLAH
ENSG00000101082,-0.508137722,4.04151327,-5.12259649,1.49E-06,9.60E-05,4.967387573,SLA2
ENSG00000119917,-1.884895444,4.715715645,-5.121149189,1.50E-06,9.63E-05,4.938808772,IFIT3
ENSG00000124275,0.764744622,6.238425934,5.11839741,1.52E-06,9.71E-05,4.833950143,MTRR
ENSG00000123338,0.418178403,7.556017429,5.109709293,1.58E-06,0.000100092,4.818539573,NCKAP1L
ENSG00000170185,0.2894235,4.77605262,5.106551507,1.60E-06,0.000100988,4.84204248,USP38
ENSG00000183690,-1.181965226,1.250365445,-5.10454359,1.61E-06,0.000101609,4.871923292,EFHC2
ENSG00000135404,0.94548953,7.71051395,5.102675514,1.63E-06,0.000101992,4.79562982,CD63
ENSG00000108179,-0.651093539,5.578806224,-5.099059279,1.65E-06,0.00010278,4.774484315,PPIF
ENSG00000118680,0.450549901,7.87921916,5.09802392,1.66E-06,0.00010278,4.780463953,MYL12B
ENSG00000120708,-1.30747481,4.77102594,-5.097957718,1.66E-06,0.00010278,4.835548323,TGFBI
ENSG00000160013,-0.848121488,2.18770009,-5.095541624,1.67E-06,0.00010341,4.901623739,PTGIR
ENSG00000082146,-1.567177899,8.038061277,-5.083396306,1.76E-06,0.000108128,4.721938651,STRADB
ENSG00000130821,-1.344053858,5.408085101,-5.082960243,1.76E-06,0.000108128,4.729198413,SLC6A8
ENSG00000162972,1.041327356,3.454698865,5.082009098,1.77E-06,0.000108133,4.836913843,MAIP1
ENSG00000196352,0.74365126,9.334923696,5.0742485,1.83E-06,0.000111252,4.728258485,CD55
ENSG00000261884,-0.482963496,2.824134727,-5.066136965,1.89E-06,0.000114174,4.803323856,AC040162.1
ENSG00000178074,0.547300003,3.601508977,5.065801043,1.89E-06,0.000114174,4.765299696,C2orf69
